"id","name","votes"
691,"leg lamp",0
692,"granite",0
693,"cool whip",0
694,"kleenex",0
695,"wren",0
696,"skipper",0
697,"corona",0
698,"trump steaks",0
699,"key lime",0
700,"tiger king",0
701,"world of warcraft",0
702,"bubble tea",0
703,"virus",0
704,"pinkie",0
705,"porcupine",0
706,"lorry",0
707,"mutton chops",0
708,"roosevelt",0
